"ID","Restraint","Injury"
125884,"Lap and Shoulder Belt","Non-incapacitating"
350013,"Lap and Shoulder Belt","Possible Injury"
975642,"Lap-Only Belt","Non-incapacitating"
184286,"Lap-Only Belt","Fatal"
642838,"Lap and Shoulder Belt","No Injury"
434382,"No Restraint","Fatal"
345515,"No Restraint","Fatal"
553391,"Car Seat","Possible Injury"
150204,"Lap and Shoulder Belt","Non-incapacitating"
773155,"No Restraint","No Injury"
611109,"No Restraint","Fatal"
870675,"Lap-Only Belt","Possible Injury"
923909,"No Restraint","Possible Injury"
838625,"Lap and Shoulder Belt","Incapacitating"
539356,"No Restraint","No Injury"
221088,"Lap and Shoulder Belt","Incapacitating"
921320,"No Restraint","Non-incapacitating"
159098,"Lap-Only Belt","No Injury"
743606,"No Restraint","Incapacitating"
932519,"Lap and Shoulder Belt","No Injury"
491752,"No Restraint","No Injury"
433040,"Lap-Only Belt","Incapacitating"
121414,"No Restraint","Incapacitating"
437467,"Lap and Shoulder Belt","Incapacitating"
537396,"No Restraint","Incapacitating"
828765,"No Restraint","No Injury"
185641,"Lap and Shoulder Belt","Possible Injury"
923992,"Lap and Shoulder Belt","Non-incapacitating"
364254,"No Restraint","Fatal"
745247,"Lap-Only Belt","No Injury"
565122,"Lap and Shoulder Belt","No Injury"
575715,"Lap-Only Belt","Non-incapacitating"
459733,"No Restraint","Possible Injury"
920843,"No Restraint","Fatal"
581017,"No Restraint","Possible Injury"
917887,"Car Seat","Non-incapacitating"
596380,"No Restraint","Incapacitating"
241189,"Car Seat","Fatal"
196708,"No Restraint","Incapacitating"
893281,"No Restraint","Fatal"
298949,"No Restraint","Incapacitating"
329770,"No Restraint","Possible Injury"
948579,"Car Seat","Incapacitating"
795365,"No Restraint","Possible Injury"
870086,"Car Seat","Possible Injury"
331686,"Car Seat","No Injury"
554603,"Lap and Shoulder Belt","Non-incapacitating"
865442,"No Restraint","Possible Injury"
531409,"No Restraint","Incapacitating"
681990,"No Restraint","No Injury"
700431,"Lap-Only Belt","Fatal"
621165,"No Restraint","No Injury"
735877,"Lap and Shoulder Belt","Non-incapacitating"
873194,"No Restraint","Non-incapacitating"
471171,"No Restraint","Fatal"
686622,"Lap-Only Belt","Possible Injury"
116421,"Lap-Only Belt","Incapacitating"
871118,"No Restraint","No Injury"
155719,"Lap and Shoulder Belt","No Injury"
428754,"Car Seat","Incapacitating"
785316,"Car Seat","Incapacitating"
998794,"No Restraint","Possible Injury"
356166,"No Restraint","Incapacitating"
620592,"Lap-Only Belt","Fatal"
797672,"No Restraint","Incapacitating"
437026,"No Restraint","Possible Injury"
816401,"Lap and Shoulder Belt","Fatal"
601833,"No Restraint","Incapacitating"
320265,"Car Seat","Incapacitating"
970063,"Lap and Shoulder Belt","Fatal"
923918,"Lap and Shoulder Belt","Fatal"
931924,"Car Seat","Incapacitating"
704728,"Car Seat","No Injury"
391842,"Lap-Only Belt","Non-incapacitating"
299036,"No Restraint","Possible Injury"
233291,"No Restraint","Fatal"
606592,"No Restraint","Incapacitating"
598763,"Car Seat","No Injury"
122273,"No Restraint","Non-incapacitating"
398629,"Lap-Only Belt","No Injury"
181419,"Lap and Shoulder Belt","Non-incapacitating"
798114,"Lap and Shoulder Belt","Incapacitating"
470629,"Lap and Shoulder Belt","Incapacitating"
412617,"No Restraint","Incapacitating"
861723,"Lap-Only Belt","Fatal"
833738,"No Restraint","Incapacitating"
814753,"Lap-Only Belt","Incapacitating"
468666,"No Restraint","Incapacitating"
450007,"Car Seat","No Injury"
165878,"Lap-Only Belt","Non-incapacitating"
540170,"Lap-Only Belt","Fatal"
667779,"Lap-Only Belt","Incapacitating"
989962,"No Restraint","Possible Injury"
872912,"Lap and Shoulder Belt","Non-incapacitating"
102040,"No Restraint","Incapacitating"
356105,"Car Seat","No Injury"
206795,"No Restraint","Incapacitating"
608726,"Car Seat","Fatal"
913336,"No Restraint","Fatal"
146401,"Lap and Shoulder Belt","Incapacitating"
573079,"No Restraint","Fatal"
188287,"Car Seat","Possible Injury"
719243,"Lap-Only Belt","No Injury"
953780,"Car Seat","Fatal"
413451,"Lap and Shoulder Belt","Fatal"
995156,"No Restraint","Incapacitating"
408488,"Lap-Only Belt","Incapacitating"
828767,"Lap-Only Belt","Non-incapacitating"
294332,"No Restraint","Incapacitating"
177682,"Car Seat","Non-incapacitating"
658196,"Car Seat","Possible Injury"
580037,"Lap and Shoulder Belt","Possible Injury"
659393,"Car Seat","Possible Injury"
698983,"Lap-Only Belt","Incapacitating"
189748,"Car Seat","Non-incapacitating"
845189,"Car Seat","No Injury"
702020,"Car Seat","No Injury"
622677,"Lap and Shoulder Belt","Incapacitating"
244050,"Lap and Shoulder Belt","Possible Injury"
136826,"No Restraint","Fatal"
262917,"No Restraint","Incapacitating"
836451,"Lap and Shoulder Belt","Incapacitating"
371951,"Lap-Only Belt","Possible Injury"
957776,"No Restraint","Incapacitating"
289982,"Lap-Only Belt","No Injury"
745407,"No Restraint","Incapacitating"
332220,"No Restraint","No Injury"
766479,"No Restraint","Fatal"
190596,"No Restraint","Fatal"
204085,"Lap and Shoulder Belt","Non-incapacitating"
424480,"Lap and Shoulder Belt","Non-incapacitating"
919114,"Car Seat","Possible Injury"
299765,"Lap-Only Belt","Non-incapacitating"
107414,"No Restraint","Incapacitating"
449649,"No Restraint","No Injury"
305189,"Car Seat","Non-incapacitating"
790592,"No Restraint","Incapacitating"
685212,"Lap and Shoulder Belt","Possible Injury"
401359,"Car Seat","Non-incapacitating"
594146,"No Restraint","Fatal"
299363,"No Restraint","Fatal"
703305,"Lap and Shoulder Belt","Non-incapacitating"
291915,"No Restraint","Incapacitating"
655748,"Lap-Only Belt","Fatal"
989165,"No Restraint","Fatal"
614674,"Car Seat","Non-incapacitating"
127634,"Lap-Only Belt","No Injury"
639146,"Car Seat","Incapacitating"
768347,"No Restraint","Fatal"
537661,"Car Seat","Incapacitating"
797912,"No Restraint","Incapacitating"
617478,"Car Seat","Possible Injury"
617031,"No Restraint","No Injury"
970576,"No Restraint","Fatal"
252752,"Car Seat","Possible Injury"
658919,"Lap and Shoulder Belt","Incapacitating"
456909,"Lap-Only Belt","No Injury"
261068,"No Restraint","Possible Injury"
628533,"Car Seat","No Injury"
736838,"No Restraint","Incapacitating"
572863,"Lap and Shoulder Belt","No Injury"
737299,"No Restraint","Fatal"
281587,"Lap-Only Belt","No Injury"
771301,"Lap-Only Belt","Non-incapacitating"
689092,"Car Seat","Non-incapacitating"
301052,"No Restraint","Fatal"
628287,"Lap and Shoulder Belt","Non-incapacitating"
910543,"No Restraint","Incapacitating"
502112,"Lap and Shoulder Belt","Incapacitating"
699772,"No Restraint","Non-incapacitating"
376355,"Car Seat","Fatal"
962227,"Lap-Only Belt","Non-incapacitating"
479246,"Lap-Only Belt","Non-incapacitating"
150735,"Lap-Only Belt","Incapacitating"
674232,"No Restraint","No Injury"
597558,"No Restraint","Incapacitating"
811845,"No Restraint","Incapacitating"
635030,"Car Seat","Non-incapacitating"
597312,"Lap and Shoulder Belt","Possible Injury"
499097,"No Restraint","Fatal"
340845,"No Restraint","Non-incapacitating"
465454,"No Restraint","No Injury"
148654,"No Restraint","Incapacitating"
370179,"No Restraint","Incapacitating"
684221,"Lap and Shoulder Belt","Incapacitating"
428871,"No Restraint","No Injury"
261045,"No Restraint","Incapacitating"
663642,"No Restraint","No Injury"
820457,"No Restraint","Incapacitating"
355338,"No Restraint","Fatal"
832569,"No Restraint","Incapacitating"
725191,"No Restraint","Possible Injury"
209081,"No Restraint","Fatal"
485519,"Lap and Shoulder Belt","Incapacitating"
684305,"No Restraint","Fatal"
446973,"Car Seat","Incapacitating"
685788,"Car Seat","Possible Injury"
378566,"No Restraint","Fatal"
762674,"Car Seat","Non-incapacitating"
293023,"No Restraint","Fatal"
339233,"No Restraint","Fatal"
977669,"Car Seat","Non-incapacitating"
186363,"No Restraint","Possible Injury"
845183,"No Restraint","No Injury"
565716,"Lap and Shoulder Belt","No Injury"
340459,"No Restraint","Fatal"
793948,"No Restraint","Incapacitating"
131622,"Car Seat","Fatal"
140382,"No Restraint","Incapacitating"
344816,"No Restraint","Fatal"
519151,"No Restraint","No Injury"
735411,"No Restraint","Possible Injury"
327838,"No Restraint","Fatal"
912010,"Lap-Only Belt","Incapacitating"
122009,"No Restraint","Incapacitating"
122393,"Car Seat","Possible Injury"
619589,"Car Seat","No Injury"
799420,"No Restraint","Fatal"
371279,"No Restraint","Fatal"
270328,"No Restraint","Fatal"
912914,"Lap-Only Belt","Non-incapacitating"
783924,"No Restraint","Incapacitating"
897153,"Lap-Only Belt","Non-incapacitating"
802147,"Car Seat","Possible Injury"
749815,"Lap and Shoulder Belt","Non-incapacitating"
172964,"Car Seat","No Injury"
978288,"Lap and Shoulder Belt","Incapacitating"
258566,"Lap-Only Belt","Incapacitating"
960885,"No Restraint","Incapacitating"
662291,"No Restraint","Fatal"
711267,"Car Seat","No Injury"
594362,"No Restraint","Fatal"
821743,"No Restraint","Incapacitating"
826222,"Lap-Only Belt","Fatal"
678406,"No Restraint","Fatal"
180767,"No Restraint","Incapacitating"
988909,"Lap and Shoulder Belt","No Injury"
591228,"Lap and Shoulder Belt","No Injury"
573673,"No Restraint","Incapacitating"
897513,"No Restraint","Fatal"
549571,"No Restraint","Incapacitating"
620850,"No Restraint","Incapacitating"
290150,"No Restraint","Incapacitating"
490969,"No Restraint","Fatal"
518090,"No Restraint","Incapacitating"
123865,"Car Seat","Fatal"
767148,"No Restraint","Fatal"
879883,"Lap and Shoulder Belt","Possible Injury"
284042,"No Restraint","Fatal"
692926,"Lap and Shoulder Belt","Fatal"
345941,"Car Seat","No Injury"
718370,"No Restraint","Fatal"
448215,"No Restraint","Fatal"
457089,"No Restraint","Possible Injury"
536354,"No Restraint","Fatal"
311219,"No Restraint","Fatal"
132720,"No Restraint","Fatal"
838222,"No Restraint","Fatal"
162024,"Car Seat","Non-incapacitating"
167034,"Car Seat","No Injury"
727115,"Lap and Shoulder Belt","Possible Injury"
725014,"No Restraint","Incapacitating"
340448,"Lap and Shoulder Belt","Non-incapacitating"
452505,"No Restraint","Incapacitating"
946597,"Lap-Only Belt","Non-incapacitating"
301794,"Lap and Shoulder Belt","Non-incapacitating"
403326,"No Restraint","Incapacitating"
966925,"Lap-Only Belt","Incapacitating"
671611,"Lap-Only Belt","Non-incapacitating"
268479,"No Restraint","Fatal"
789928,"No Restraint","Possible Injury"
170188,"No Restraint","Fatal"
579663,"No Restraint","Fatal"
615130,"No Restraint","Possible Injury"
717158,"Lap and Shoulder Belt","Incapacitating"
895824,"Lap-Only Belt","Fatal"
414928,"No Restraint","Non-incapacitating"
476428,"No Restraint","Incapacitating"
997793,"No Restraint","Incapacitating"
158998,"Car Seat","No Injury"
867805,"Lap and Shoulder Belt","Incapacitating"
365976,"Car Seat","Non-incapacitating"
287803,"No Restraint","Incapacitating"
255374,"Car Seat","Incapacitating"
793028,"Lap and Shoulder Belt","Non-incapacitating"
120924,"Car Seat","No Injury"
364341,"No Restraint","No Injury"
765309,"No Restraint","Incapacitating"
395171,"Car Seat","Non-incapacitating"
407546,"No Restraint","Incapacitating"
600495,"Lap-Only Belt","Non-incapacitating"
942319,"No Restraint","Incapacitating"
154407,"Car Seat","No Injury"
534126,"No Restraint","Incapacitating"
551561,"No Restraint","No Injury"
599528,"No Restraint","Fatal"
762802,"Lap-Only Belt","Fatal"
257054,"No Restraint","Fatal"
470914,"No Restraint","Fatal"
789019,"No Restraint","Possible Injury"
855272,"Lap and Shoulder Belt","Incapacitating"
708902,"Lap-Only Belt","Non-incapacitating"
158016,"Lap-Only Belt","Possible Injury"
601073,"No Restraint","Fatal"
351849,"Car Seat","Incapacitating"
107324,"Lap-Only Belt","No Injury"
444808,"Car Seat","Non-incapacitating"
964793,"No Restraint","Fatal"
655901,"No Restraint","Fatal"
744061,"No Restraint","Incapacitating"
942728,"Lap-Only Belt","No Injury"
896274,"No Restraint","Incapacitating"
660768,"No Restraint","No Injury"
667165,"No Restraint","Fatal"
807330,"Lap and Shoulder Belt","Non-incapacitating"
863446,"No Restraint","Fatal"
352260,"No Restraint","Incapacitating"
754458,"Car Seat","Non-incapacitating"
403380,"Car Seat","Non-incapacitating"
840436,"Car Seat","Possible Injury"
151392,"Lap-Only Belt","Possible Injury"
306508,"No Restraint","Incapacitating"
757888,"Lap-Only Belt","Incapacitating"
161709,"No Restraint","Incapacitating"
747831,"Lap and Shoulder Belt","No Injury"
846326,"No Restraint","Incapacitating"
825061,"No Restraint","Incapacitating"
988435,"No Restraint","Incapacitating"
942372,"No Restraint","Incapacitating"
841149,"No Restraint","Incapacitating"
473532,"No Restraint","Fatal"
977381,"Lap-Only Belt","No Injury"
435616,"Car Seat","Non-incapacitating"
189061,"Car Seat","Possible Injury"
440916,"Lap and Shoulder Belt","Incapacitating"
676170,"No Restraint","No Injury"
639812,"Lap-Only Belt","Non-incapacitating"
179889,"Car Seat","No Injury"
132822,"Lap-Only Belt","Incapacitating"
424461,"No Restraint","Incapacitating"
406291,"Lap-Only Belt","Possible Injury"
391344,"Car Seat","Fatal"
324555,"No Restraint","No Injury"
749934,"Lap-Only Belt","Non-incapacitating"
338338,"Car Seat","Non-incapacitating"
747582,"Lap-Only Belt","No Injury"
591970,"No Restraint","Incapacitating"
795321,"Lap-Only Belt","Non-incapacitating"
985111,"Lap and Shoulder Belt","Fatal"
506653,"No Restraint","Fatal"
584421,"Car Seat","Possible Injury"
680147,"No Restraint","No Injury"
238940,"No Restraint","No Injury"
396994,"No Restraint","Fatal"
831732,"No Restraint","No Injury"
690603,"Lap and Shoulder Belt","Incapacitating"
575747,"No Restraint","Fatal"
171311,"No Restraint","Incapacitating"
376522,"No Restraint","Fatal"
607401,"Car Seat","Possible Injury"
654450,"Lap and Shoulder Belt","Incapacitating"
413583,"No Restraint","Possible Injury"
601124,"No Restraint","Fatal"
177156,"Car Seat","Non-incapacitating"
321821,"No Restraint","Fatal"
146963,"Car Seat","Fatal"
541976,"No Restraint","No Injury"
858097,"Lap-Only Belt","Fatal"
589488,"Car Seat","Fatal"
893607,"No Restraint","Fatal"
335903,"No Restraint","Possible Injury"
158932,"Lap and Shoulder Belt","No Injury"
374549,"Car Seat","Non-incapacitating"
335730,"Car Seat","Fatal"
598628,"No Restraint","Fatal"
622267,"Lap and Shoulder Belt","Non-incapacitating"
752927,"Lap and Shoulder Belt","Fatal"
903015,"No Restraint","Fatal"
461296,"No Restraint","Non-incapacitating"
239866,"No Restraint","Fatal"
628345,"No Restraint","Fatal"
640704,"No Restraint","Incapacitating"
587038,"No Restraint","Incapacitating"
309585,"Car Seat","Possible Injury"
405589,"Lap and Shoulder Belt","Possible Injury"
777547,"Lap-Only Belt","Fatal"
325850,"No Restraint","Incapacitating"
892323,"Lap-Only Belt","Fatal"
775640,"Lap and Shoulder Belt","Non-incapacitating"
210522,"No Restraint","No Injury"
833105,"No Restraint","Fatal"
340250,"No Restraint","Fatal"
530590,"Lap-Only Belt","No Injury"
615404,"No Restraint","Incapacitating"
854880,"Lap and Shoulder Belt","No Injury"
668539,"No Restraint","Fatal"
362806,"Lap-Only Belt","Non-incapacitating"
403625,"Car Seat","Non-incapacitating"
419915,"No Restraint","No Injury"
594307,"Car Seat","Incapacitating"
607634,"Lap and Shoulder Belt","Non-incapacitating"
964138,"No Restraint","Fatal"
608341,"No Restraint","Incapacitating"
835678,"Lap and Shoulder Belt","Non-incapacitating"
419759,"No Restraint","Fatal"
389252,"Lap-Only Belt","No Injury"
516847,"Car Seat","Non-incapacitating"
605754,"Lap and Shoulder Belt","No Injury"
390021,"No Restraint","Fatal"
426208,"No Restraint","Incapacitating"
837395,"No Restraint","Incapacitating"
731346,"No Restraint","Incapacitating"
878642,"No Restraint","Fatal"
776425,"Car Seat","Fatal"
729930,"Car Seat","No Injury"
333725,"Car Seat","Incapacitating"
941772,"Lap and Shoulder Belt","Incapacitating"
999632,"No Restraint","Incapacitating"
714581,"No Restraint","Fatal"
843574,"No Restraint","Fatal"
120479,"Lap and Shoulder Belt","No Injury"
866878,"No Restraint","Incapacitating"
321338,"Car Seat","No Injury"
479196,"No Restraint","Possible Injury"
196716,"No Restraint","Incapacitating"
608143,"No Restraint","Possible Injury"
974183,"No Restraint","Fatal"
768853,"No Restraint","Incapacitating"
822561,"No Restraint","Possible Injury"
297623,"No Restraint","Incapacitating"
545827,"Car Seat","Incapacitating"
649845,"No Restraint","Fatal"
679532,"No Restraint","Incapacitating"
107641,"No Restraint","No Injury"
876869,"No Restraint","Fatal"
614842,"No Restraint","Incapacitating"
962457,"Car Seat","Non-incapacitating"
886862,"No Restraint","Possible Injury"
928584,"No Restraint","Incapacitating"
753959,"Car Seat","Fatal"
629233,"Car Seat","Non-incapacitating"
389231,"No Restraint","Fatal"
642454,"Car Seat","Fatal"
639933,"No Restraint","No Injury"
820970,"No Restraint","Incapacitating"
273100,"No Restraint","Fatal"
859786,"No Restraint","Incapacitating"
472186,"Car Seat","Possible Injury"
448134,"No Restraint","Fatal"
354573,"Car Seat","Fatal"
